,release_year,duration
0,2019,90
1,2016,94
4,2017,99
6,2014,110
7,2017,60
9,2014,90
10,2017,78
11,2015,95
12,2009,58
13,2013,62
14,2016,65
15,2012,61
16,2017,65
17,2010,58
18,2013,60
19,2015,135
20,2014,98
21,2015,96
22,2015,79
23,2014,113
24,2015,90
25,2015,80
27,2018,77
29,2011,112
30,2018,106
31,2018,106
32,2018,102
33,2016,114
35,2019,125
36,2018,142
37,2018,133
38,2019,100
40,2015,86
41,2014,146
42,2015,79
43,2015,102
44,2019,10
45,2012,122
46,2009,126
47,2014,116
48,2016,135
49,2009,125
50,2004,96
51,2011,130
52,2016,98
53,2017,70
55,2016,128
56,2017,88
57,2019,108
58,2019,93
59,2018,135
60,2015,88
62,2019,64
65,2012,107
71,2017,130
73,2016,92
75,2018,96
76,2010,112
77,2018,111
78,2017,103
79,2017,40
81,2017,103
82,2017,85
85,2015,72
86,2019,45
87,2019,89
88,2019,90
89,2012,126
90,2018,130
91,2018,126
92,2018,24
94,2015,127
95,2018,108
96,2013,163
97,2018,117
98,2016,106
100,2018,102
102,2019,116
104,2019,42
106,2016,95
107,2015,104
108,2000,75
109,2019,133
110,2013,108
112,2018,103
113,2017,82
114,2016,94
115,2014,100
116,2019,38
117,2019,97
118,2016,89
119,2019,146
120,2019,146
121,2016,130
122,2018,110
123,2017,81
124,2016,91
125,2019,106
126,2019,58
127,2017,111
128,2014,112
129,2017,102
130,2019,152
132,2018,87
133,2016,99
134,2016,78
136,2009,121
137,2013,91
138,2018,101
139,2017,101
140,2016,119
141,2015,83
142,2018,182
143,2018,106
144,2010,102
145,2017,98
151,2018,124
152,2018,63
154,2019,83
159,2019,82
162,2018,111
163,2019,24
165,2016,102
167,1983,103
168,2014,87
169,2017,100
171,2016,116
172,2016,139
173,2016,101
176,2014,130
177,2019,171
178,2009,84
179,2017,112
181,2017,62
183,2016,65
184,2016,65
185,2016,69
186,2016,64
187,2016,63
188,2016,63
189,2016,112
191,2018,103
192,2017,64
196,2015,82
197,2019,80
199,2019,88
200,2017,124
201,1982,104
202,2012,76
204,2015,92
206,2016,91
207,2014,93
208,2010,112
209,2016,89
210,2016,60
211,2010,84
212,2015,93
213,2016,41
217,2019,64
219,2006,94
222,2019,86
226,2011,113
228,2016,92
229,2018,153
230,2017,111
231,2005,141
232,2018,128
235,2017,52
236,2017,117
237,2017,100
238,2017,112
239,2017,110
240,2018,98
241,2017,137
242,2013,108
243,2016,132
244,2017,87
245,2016,92
246,2017,108
248,2016,91
249,2012,83
251,2014,90
252,2019,157
253,2019,83
254,2018,95
255,2002,107
257,2018,109
261,2010,100
263,2018,114
264,2018,98
266,2019,106
267,2019,87
268,2018,90
269,2019,65
271,2018,105
274,2019,107
275,2019,103
276,2018,88
279,2018,100
280,2017,78
281,2016,25
284,2013,96
286,2018,100
287,2017,40
288,2017,71
291,2018,123
292,2014,89
293,2019,67
294,2010,140
295,2019,96
296,2019,93
298,2018,86
299,2017,96
300,2000,102
301,1997,108
302,2012,81
303,2017,102
304,2018,93
305,2008,87
306,2005,94
308,2019,100
309,2007,88
310,2009,109
311,2003,138
312,2014,149
313,2014,82
314,2006,86
315,2012,112
316,2006,98
317,2008,113
319,2004,47
320,1981,106
321,2007,113
322,2017,119
323,2016,109
324,2006,98
325,2010,88
326,1997,116
327,2009,106
330,2019,95
331,2018,95
332,2008,113
334,2015,122
335,2005,110
336,2017,104
337,2018,96
338,2018,109
339,2018,95
340,2018,110
341,2017,110
342,2007,79
343,2018,101
344,2013,112
346,1991,94
347,2017,94
348,2017,86
349,2017,84
350,2017,95
351,2018,93
352,2017,113
353,1994,111
355,2018,68
358,1988,148
359,2017,54
361,2012,92
362,2013,107
363,2006,90
364,1976,135
365,2016,52
366,1983,151
370,2015,90
371,2004,88
372,2003,99
373,2002,99
374,1973,132
376,2017,95
377,2015,155
379,1974,162
380,1989,163
381,2011,102
382,2009,96
383,2010,85
384,2005,97
385,2006,95
386,2004,83
387,2016,89
388,2017,28
389,2016,103
390,1986,84
391,1984,160
392,2016,113
393,2016,99
394,2016,86
395,2016,83
396,2017,113
398,2016,86
399,2017,78
400,2015,111
401,2015,88
